DATASET,COSMIC_ID,CELL_LINE_NAME,SANGER_MODEL_ID,TCGA_DESC,DRUG_ID,DRUG_NAME,LN_IC50,AUC,Z_SCORE,status,lineage
GDSC1,907794,LS-411N,SIDM00660,COREAD,158,PF-562271,1.397465,0.884385,-0.459939,intact,Bowel
GDSC1,907795,LS-513,SIDM00677,COREAD,158,PF-562271,2.654444,0.961017,0.716335,intact,Bowel
GDSC1,907799,MC116,SIDM00637,DLBC,158,PF-562271,0.949715,0.95614,-0.878941,intact,Lymphoid
GDSC1,908120,MDA-MB-175-VII,SIDM00633,BRCA,158,PF-562271,2.203859,0.943809,0.29468,intact,Breast
GDSC1,908121,MDA-MB-361,SIDM00528,BRCA,158,PF-562271,2.392783,0.960957,0.471474,intact,Breast
GDSC1,908122,MDA-MB-453,SIDM00272,BRCA,158,PF-562271,2.24309,0.952981,0.331392,intact,Breast
GDSC1,908123,MDA-MB-468,SIDM00628,BRCA,158,PF-562271,0.794024,0.878096,-1.024635,intact,Breast
GDSC1,908124,MEL-HO,SIDM00337,SKCM,158,PF-562271,0.141557,0.791926,-1.635211,intact,Skin
GDSC1,908125,MEL-JUSO,SIDM00336,SKCM,158,PF-562271,0.672886,0.843639,-1.137996,null,Skin
GDSC1,908126,MEG-01,SIDM00526,LCML,158,PF-562271,2.234654,0.952299,0.323498,intact,Myeloid
GDSC1,908127,MES-SA,SIDM00625,UNCLASSIFIED,158,PF-562271,0.228609,0.810333,-1.553747,null,Uterus
GDSC1,908128,Mewo,SIDM00545,SKCM,158,PF-562271,4.105489,0.981821,2.074214,intact,Skin
GDSC1,908129,MFE-280,SIDM00335,UCEC,158,PF-562271,2.115027,0.922161,0.211552,intact,Uterus
GDSC1,908130,MFE-296,SIDM00334,UCEC,158,PF-562271,0.903667,0.853386,-0.922032,intact,Uterus
GDSC1,908131,MG-63,SIDM00525,UNCLASSIFIED,158,PF-562271,0.605667,0.800371,-1.200899,null,Bone
GDSC1,908134,MHH-ES-1,SIDM00386,UNCLASSIFIED,158,PF-562271,0.653534,0.854118,-1.156106,intact,Bone
GDSC1,908135,MHH-NB-11,SIDM00387,NB,158,PF-562271,1.410153,0.893392,-0.448065,intact,Peripheral Nervous System
GDSC1,908136,MHH-PREB-1,SIDM00388,UNCLASSIFIED,158,PF-562271,1.802038,0.951548,-0.081342,intact,Lymphoid
GDSC1,908138,MKN1,SIDM00271,UNCLASSIFIED,158,PF-562271,1.165923,0.886744,-0.676615,intact,Esophagus/Stomach
GDSC1,908139,MKN28,SIDM00260,STAD,158,PF-562271,1.256137,0.89233,-0.592193,intact,Esophagus/Stomach
GDSC1,908141,ML-2,SIDM00441,LAML,158,PF-562271,0.702191,0.868637,-1.110573,intact,Myeloid
GDSC1,908142,MLMA,SIDM00561,UNCLASSIFIED,158,PF-562271,1.795829,0.937499,-0.087153,intact,Lymphoid
GDSC1,908143,MN-60,SIDM00438,UNCLASSIFIED,158,PF-562271,2.660532,0.956633,0.722032,intact,Lymphoid
GDSC1,908144,MOG-G-CCM,SIDM00532,LGG,158,PF-562271,0.79426,0.838665,-1.024414,intact,CNS/Brain
GDSC1,908145,MOG-G-UVW,SIDM00504,LGG,158,PF-562271,1.291611,0.910347,-0.558996,intact,CNS/Brain
GDSC1,908147,MOLT-16,SIDM00431,ALL,158,PF-562271,1.417273,0.949879,-0.441403,null,Lymphoid
GDSC1,908148,MONO-MAC-6,SIDM01023,LAML,158,PF-562271,0.257865,0.787979,-1.52637,intact,Myeloid
GDSC1,908149,Mo-T,SIDM00623,UNCLASSIFIED,158,PF-562271,3.759353,0.981699,1.750302,intact,Lymphoid
GDSC1,908150,MPP-89,SIDM00222,MESO,158,PF-562271,3.565295,0.971346,1.568704,intact,Pleura
GDSC1,908151,MRK-nu-1,SIDM00562,BRCA,158,PF-562271,0.896193,0.858806,-0.929026,intact,Breast
GDSC1,908152,MSTO-211H,SIDM00640,MESO,158,PF-562271,3.220723,0.989141,1.246256,null,Pleura
GDSC1,908156,MV-4-11,SIDM00657,UNCLASSIFIED,158,PF-562271,-1.162642,0.611546,-2.855672,intact,Myeloid
GDSC1,908158,NALM-6,SIDM00429,UNCLASSIFIED,158,PF-562271,0.41168,0.852479,-1.382431,null,Lymphoid
GDSC1,908159,NAMALWA,SIDM00641,UNCLASSIFIED,158,PF-562271,1.772424,0.96359,-0.109055,intact,Lymphoid
GDSC1,908440,NB69,SIDM00244,NB,158,PF-562271,1.152589,0.911655,-0.689092,intact,Peripheral Nervous System
GDSC1,908441,NCCIT,SIDM00655,,158,PF-562271,1.019217,0.900231,-0.813901,intact,Testis
GDSC1,908443,NCI-H520,SIDM01130,LUSC,158,PF-562271,2.703509,0.971369,0.762249,intact,Lung
GDSC1,908444,SNU-1,SIDM01146,STAD,158,PF-562271,2.113699,0.925325,0.210308,intact,Esophagus/Stomach
GDSC1,908445,SNU-5,SIDM01144,STAD,158,PF-562271,4.047646,0.98455,2.020085,intact,Esophagus/Stomach
GDSC1,908446,SNU-16,SIDM01145,STAD,158,PF-562271,3.712991,0.986171,1.706917,null,Esophagus/Stomach
GDSC1,908447,NH-12,SIDM00577,NB,158,PF-562271,1.499233,0.904666,-0.364705,intact,Peripheral Nervous System
GDSC1,908448,NKM-1,SIDM00576,LAML,158,PF-562271,0.378221,0.799955,-1.413741,null,Myeloid
GDSC1,908449,NMC-G1,SIDM00575,LGG,158,PF-562271,1.73088,0.904221,-0.147931,intact,CNS/Brain
GDSC1,908450,no-11,SIDM00573,LGG,158,PF-562271,3.06221,0.957963,1.09792,intact,CNS/Brain
GDSC1,908451,NOMO-1,SIDM00580,LAML,158,PF-562271,1.60114,0.901632,-0.269341,null,Myeloid
GDSC1,908452,no-10,SIDM00574,LGG,158,PF-562271,1.029026,0.858789,-0.804722,intact,CNS/Brain
GDSC1,908454,NTERA-2-cl-D1,SIDM01203,UNCLASSIFIED,158,PF-562271,0.259248,0.81241,-1.525076,intact,Testis
GDSC1,908455,NUGC-3,SIDM00572,STAD,158,PF-562271,1.772227,0.918859,-0.109239,intact,Esophagus/Stomach
GDSC1,908457,NCI-H747,SIDM00778,COREAD,158,PF-562271,1.552177,0.889695,-0.315161,intact,Bowel
GDSC1,908458,NCI-H716,SIDM00779,COREAD,158,PF-562271,2.94272,0.963001,0.986102,intact,Bowel
GDSC1,908459,NCI-H596,SIDM01127,UNCLASSIFIED,158,PF-562271,2.76197,0.948319,0.816957,intact,Lung
GDSC1,908460,NCI-H441,SIDM00925,LUAD,158,PF-562271,2.939742,0.935092,0.983315,intact,Lung
GDSC1,908461,NCI-N87,SIDM01147,STAD,158,PF-562271,4.772612,0.980733,2.698504,intact,Esophagus/Stomach
GDSC1,908462,NCI-H2452,SIDM00722,MESO,158,PF-562271,1.405764,0.890258,-0.452172,null,Pleura
GDSC1,908465,NCI-H358,SIDM00718,LUAD,158,PF-562271,0.900397,0.852808,-0.925092,intact,Lung
GDSC1,908467,NCI-H1155,SIDM00651,UNCLASSIFIED,158,PF-562271,2.957559,0.98691,0.999988,intact,Lung
GDSC1,908469,NCI-H1436,SIDM00697,SCLC,158,PF-562271,3.353815,0.972896,1.370802,intact,Lung
GDSC1,908470,NCI-H28,SIDM00720,MESO,158,PF-562271,1.807646,0.905938,-0.076094,null,Pleura
GDSC1,908471,NCI-H1581,SIDM00748,UNCLASSIFIED,158,PF-562271,3.021109,0.985067,1.059458,intact,Lung
GDSC1,908472,NCI-H1573,SIDM00749,LUAD,158,PF-562271,3.812869,0.98761,1.800382,intact,Lung
GDSC1,908473,NCI-H1666,SIDM00743,LUAD,158,PF-562271,4.267832,0.98752,2.226134,null,Lung
GDSC1,908474,NCI-H1703,SIDM00740,UNCLASSIFIED,158,PF-562271,2.673635,0.957524,0.734294,intact,Lung
GDSC1,908476,NCI-H1993,SIDM00758,LUAD,158,PF-562271,3.678097,0.969872,1.674263,intact,Lung
GDSC1,908480,NCI-H2081,SIDM00710,SCLC,158,PF-562271,1.835282,0.931452,-0.050233,intact,Lung
GDSC1,908481,NCI-H2196,SIDM00731,SCLC,158,PF-562271,3.096511,0.975034,1.130019,intact,Lung
GDSC1,908483,NCI-H524,SIDM01129,SCLC,158,PF-562271,2.603124,0.975862,0.66831,intact,Lung
GDSC1,909248,ONS-76,SIDM00567,MB,158,PF-562271,1.155129,0.88427,-0.686715,intact,CNS/Brain
GDSC1,909249,OPM-2,SIDM00457,MM,158,PF-562271,0.932587,0.910301,-0.894969,intact,Lymphoid
GDSC1,909250,OS-RC-2,SIDM00239,KIRC,158,PF-562271,1.666797,0.882812,-0.207899,null,Kidney
GDSC1,909251,P12-ICHIKAWA,SIDM00463,ALL,158,PF-562271,1.115245,0.92131,-0.724039,intact,Lymphoid
GDSC1,909252,P30-OHK,SIDM00364,ALL,158,PF-562271,0.961853,0.912465,-0.867582,null,Lymphoid
GDSC1,909253,P31-FUJ,SIDM00363,LAML,158,PF-562271,2.652104,0.9933,0.714145,intact,Myeloid
GDSC1,909255,PA-1,SIDM01140,UNCLASSIFIED,158,PF-562271,0.351861,0.856533,-1.438409,intact,Ovary/Fallopian Tube
GDSC1,909256,OCUB-M,SIDM00241,BRCA,158,PF-562271,1.274563,0.926776,-0.57495,intact,Breast
GDSC1,909257,OC-314,SIDM00220,OV,158,PF-562271,1.45155,0.928996,-0.409326,intact,Ovary/Fallopian Tube
GDSC1,909260,PF-382,SIDM00451,ALL,158,PF-562271,1.178766,0.91179,-0.664596,null,Lymphoid
GDSC1,909262,Raji,SIDM00844,UNCLASSIFIED,158,PF-562271,2.307618,0.96633,0.391777,intact,Lymphoid
