gene,mean_A,mean_B,delta,p,q,comparison
FOSB,508.12971891891885,639.7386761904763,-131.60895727155747,0.3701700804410655,0.652204427443782,CDKN2A/B-null vs intact
PTK2,2295.82,2258.084285714285,37.73571428571495,0.4280673380043064,0.7131752611752813,CDKN2A/B-null vs intact
VCL,1601.2790675675676,1836.1888412698413,-234.9097737022737,0.4433251623522019,0.7131752611752813,CDKN2A/B-null vs intact
TEAD4,171.07871621621624,160.48443492063492,10.594281295581311,0.6057854049999627,0.8793245119573146,CDKN2A/B-null vs intact
FERMT2,3153.3627567567573,2988.6776825396823,164.685074217075,0.6088050010902382,0.8793245119573146,CDKN2A/B-null vs intact
JUND,2324.809986486486,2260.62553968254,64.18444680394623,0.6179037111051401,0.8793245119573146,CDKN2A/B-null vs intact
CCND3,1820.0326351351348,1896.0366031746032,-76.00396803946842,0.6736931632517535,0.923209149641292,CDKN2A/B-null vs intact
FOSL2,1001.9915054054054,1042.7506031746034,-40.75909776919798,0.7443707958319643,0.9465429141570869,CDKN2A/B-null vs intact
FOS,6496.38468918919,6019.608333333334,476.7763558558563,0.7509149537232612,0.9465429141570869,CDKN2A/B-null vs intact
ARPC4,4390.098108108108,4289.449206349206,100.64890175890196,0.793870023073335,0.9465429141570869,CDKN2A/B-null vs intact
JUNB,2884.317581081081,3085.51719047619,-201.1996093951093,0.79720216669544,0.9465429141570869,CDKN2A/B-null vs intact
ITGB5,1946.7352837837836,1940.179253968254,6.556029815529655,0.8239876065759077,0.9465429141570869,CDKN2A/B-null vs intact
CDKN1B,1864.7206216216216,1883.1610317460315,-18.440410124409937,0.8442139504644288,0.9465429141570869,CDKN2A/B-null vs intact
YAP1,1500.8852432432432,1600.4799047619047,-99.5946615186615,0.9088821199229662,0.9680598264986799,CDKN2A/B-null vs intact
FOSL1,217.3839675675676,225.7907777777778,-8.40681021021021,0.9157322683095621,0.9680598264986799,CDKN2A/B-null vs intact
JUN,6205.398918918919,6587.450555555557,-382.05163663663825,0.9948311583437045,0.998277042068987,CDKN2A/B-null vs intact
TEAD1,1841.48322972973,1947.1737142857141,-105.69048455598409,0.998277042068987,0.998277042068987,CDKN2A/B-null vs intact
VCL,1428.0142272727273,1928.0057384615384,-499.99151118881105,0.00420177713693528,0.1722728626143465,elig+unmeth vs other
TLN1,5107.941136363636,6143.6461538461535,-1035.7050174825172,0.015346286211243548,0.24818528174800505,elig+unmeth vs other
RB1,2122.3415681818183,1774.3516769230769,347.9898912587414,0.018159898664488174,0.24818528174800505,elig+unmeth vs other
