gene,module,screen,scope,contrast,n_test,n_comp,med_test,med_comp,effect,mw_p,perm_p,ci_lo,ci_hi,null_mode
BCAR1,FAK / focal-adhesion,CRISPR,CNS,A_vs_C,50,35,-0.1668493928742225,-0.0972707318549866,0.06957866101923592,0.06854103013965919,0.04597908041839163,-0.022097052785695792,0.1516384142830299,either
TEAD2,YAP/TAZ-TEAD output,CRISPR,CNS,B_vs_C,4,35,-0.15864249058385343,-0.1179222874391432,0.04072020314471024,0.1783808099597573,0.22227555448891023,-0.03663148088850965,0.09850931746636919,either
TEAD1,YAP/TAZ-TEAD output,CRISPR,CNS,A_vs_C,50,35,-0.35288385480969653,-0.2117946125634688,0.14108924224622774,0.0016768521310336114,0.025679486410271794,-0.006248759336720422,0.2968539455666125,either
TEAD3,YAP/TAZ-TEAD output,CRISPR,CNS,B_vs_C,4,35,-0.30866364003179114,-0.2349371015453673,0.07372653848642385,0.08194429247060825,0.16655666886662268,-0.03778222534735981,0.2257361558115159,either
TEAD4,YAP/TAZ-TEAD output,CRISPR,CNS,B_vs_C,4,35,-0.23642199024539684,-0.1149548300952427,0.12146716015015414,0.04588394062078273,0.04091918161636767,-0.044566078671284995,0.3025734782133304,either
TEAD2,YAP/TAZ-TEAD output,CRISPR,CNS,A_vs_C,50,35,-0.1147454160466302,-0.1179222874391432,-0.003176871392512992,0.6835763156831034,0.6561268774624508,-0.05514657471810366,0.030894803205063603,either
PRMT5,CTRL MTAP-synth-leth,CRISPR,CNS,B_vs_C,4,35,-1.139697105662963,-0.9396616327581808,0.20003547290478219,0.10594400068084278,0.0636787264254715,-0.07232421305371484,0.3665059151218114,either
MAT2A,CTRL MTAP-synth-leth,CRISPR,CNS,B_vs_C,4,35,-1.808624630121043,-1.4744967732060623,0.3341278569149806,0.13413818676976572,0.125077498450031,-0.11176872124093906,0.5734209674054487,either
PRMT5,CTRL MTAP-synth-leth,CRISPR,CNS,A_vs_C,50,35,-1.061522915159711,-0.9396616327581808,0.12186128240153016,0.005974843143377278,0.010279794404111918,0.0009652633423926638,0.2820581721478984,either
MAT2A,CTRL MTAP-synth-leth,CRISPR,CNS,A_vs_C,50,35,-1.5336187745169216,-1.4744967732060623,0.05912200131085932,0.4697493616006034,0.39095218095638085,-0.2578192569905744,0.3074374217655942,either
TEAD3,YAP/TAZ-TEAD output,CRISPR,CNS,A_vs_C,50,35,-0.2508554658419417,-0.2349371015453673,0.015918364296574394,0.18237946838169,0.40637187256254875,-0.05815536419856743,0.07922845909614526,either
MTAP,CTRL neutral,CRISPR,CNS,B_vs_C,4,35,-0.15198347743127966,-0.1064197955242652,0.04556368190701446,0.3858554911186491,0.28499430011399773,-0.2195389928781447,0.31715797120190836,either
