,CDKN2A,CDKN2B,MTAP,cdkn_null,mtap_null,FERMT2,ILK,ITGAV,ITGB5,LATS1,LATS2,MAT2A,MOB1A,MOB1B,NF2,PRMT5,PTK2,SAV1,STK3,STK4,TEAD1,TEAD2,TEAD3,TEAD4,TLN1,VCL,WWTR1,YAP1,cns
ACH-000860,0.618176193095312,0.618176193095312,0.618176193095312,0,0,-0.4689409240712827,-0.0541214772107976,-0.2602459188996426,-0.1011807998800991,0.0968086482012896,-0.0876567861441223,-1.95919968939833,0.0319495143906058,-0.0097052290623674,0.1820872260666084,-0.7966611707032161,-0.1039290456923902,-0.0435478651317411,-0.2350804669996987,-0.1071373805616486,-0.0328733211349946,-0.1550609800296775,-0.2887452830957162,-0.0601546163047771,-0.2327479652380372,-0.1147788651187107,-0.4024140768322524,-0.1131158556305103,0
ACH-000941,1.1122291085170857,1.1122291085170857,1.1122291085170857,0,0,-1.435784696321079,-0.3960439795992251,-1.267495216815523,-0.5619637275149014,0.131159684385923,-0.0096009837045957,-2.056425068708501,-0.0515831958366892,0.086648435748014,0.3349830406935999,-1.0999347540349729,-1.105941629790809,0.018218121250631,-0.238463146100414,-0.0486255403579384,-0.0309587147180211,-0.3077651613988546,-0.2904766317631836,-0.0638633569779417,-0.6025858711412082,-0.4307110056746327,-0.2556448591844201,-0.3290901149580763,0
ACH-001850,0.5581272533461377,0.5581272533461377,0.5581272533461377,0,0,-0.5398331610473143,-0.2406811550051698,-1.057522097857521,-0.8808712014806812,0.2080691057891374,-0.0803834714430934,-1.921659706499876,-0.1212199900164517,0.0327322452230823,0.1400296805050155,-1.0543214724637937,-1.163683067556549,0.0473973696091071,-0.1567865400958474,-0.1430235919151882,-0.0546802641656545,-0.0334424335979599,-0.2268571291347504,-0.2723132572772171,-0.4667769487882424,-0.2754740007582148,-0.7707264699745535,0.0579137342670848,0
ACH-000631,8.664982039997824e-08,8.664982039997824e-08,8.664982039997824e-08,1,1,-1.0841035309237674,-0.4629715400799267,-0.5936648178876864,-0.5867039809767505,0.2621705419323344,-0.0731665044124059,-1.780914167166698,0.0226566501589627,0.0503592220924956,0.4190335071191501,-0.3988640416093953,-1.057946261402011,0.3765045799834035,-0.1656560897638123,-0.0902222652379679,-0.2667150062204994,-0.3491269176767526,-0.5581558168645191,-0.0079728544818317,-0.451907909746632,-0.4545485835407045,-0.690369918757638,-0.3636253988854298,1
ACH-002294,0.7365916765199603,1.2692137008582,0.7365916765199603,0,0,0.0790581205189626,-0.0910431914690335,-0.0621193130805698,-0.1337683891814111,-0.1780847483581765,-0.0541307287420005,-1.9831506851677827,-0.1720951481126754,0.0588245065883187,0.0971133012609239,-1.0362896909129855,-0.1723923716330171,0.0837930854652599,-0.3706868970578105,-0.1513653340434441,-0.628304716282546,-0.0367824338771243,-0.3908958393035532,0.0945280696523288,-0.3537739061911516,-0.608451773726456,-0.4641156507870502,-0.0557431675981279,0
ACH-000569,1.262527536250497e-09,0.0936048959301388,1.262527536250497e-09,1,1,-0.245633447469275,-0.2960547600253463,-0.2384748858356145,-0.4532123401870321,0.2499914282668026,-0.347179761864019,-1.154687366751172,-0.0629710386113561,0.0306958652173787,0.3521230450703423,-1.2830648285068946,-0.7384051771932004,0.112849863492328,-0.1579998134266621,-0.2425952024298301,-0.3720361227352594,-0.0952149639360623,-0.3189656648151155,-0.7330361888642593,-0.0797060342192306,-0.5897039215468721,-0.0471920459280456,-0.4717374372887135,0
ACH-000242,0.0001047162116068,4.390742273275438e-09,8.01959449052134e-05,1,1,-1.085240401735391,-0.2376139978747717,-0.8618528887664874,-0.5624640204604692,0.2092717306804984,-0.0847409244930277,-1.1236400608408657,-0.1362832158871085,-0.0826669270767601,0.2304912587731261,-1.1029334600834328,-0.2248886175850196,0.1615393045295554,-0.1914849815326024,-0.2192841867168539,-0.1855779486528975,-0.0377655183144661,-0.4174098947698115,-0.1844884790299793,-0.3730468417402893,-0.4618309783439298,-0.3635121937390082,-0.5695552886943602,0
ACH-001458,1.692558853580871,1.692558853580871,1.692558853580871,0,0,-0.1738204387494619,-0.0806949485600699,-0.281394887207478,-0.2349537036423744,0.3134657618828969,0.0374885370919616,-2.0138765963972216,0.0913121996881756,-0.134375653961543,0.6094591848315847,-1.1531278732360517,-0.2573495644969673,0.2235604294514558,0.0031820350782079,0.121949578615276,-0.1084424876093097,-0.1432407578455369,-0.112370366512575,-0.2407101928711779,-0.1835528099549664,-0.0988781326565375,-0.1630882569865493,-0.1843323530875517,0
ACH-001856,7.437867938223349e-09,2.711342998517013e-07,4.843375488653567e-09,1,1,-1.2041666045470991,-1.0670631312070509,-1.324606092713855,-0.8623713073813601,0.0852693117266862,0.222927345244757,-2.0064485696797822,-0.089634759696896,0.0042183545600426,0.8414628285392122,-1.0017679430312172,-1.300635654880588,0.2488026256340725,-0.1060224140221506,-0.2016252826298923,-0.6565809885049239,-0.2659879429057585,-0.3220104314516274,-0.1284852902705361,-0.8138944912738358,-0.6281245299810201,-0.797981066257822,-0.1477167441942136,0
ACH-001126,0.5766112939695222,0.5766112939695222,0.5766112939695222,0,0,-0.5216355422486514,-0.2941912011540452,-0.971528469724023,-0.4472605082816369,0.1555869195338077,0.1634336649508677,-1.3979974302243494,-0.0301760104738798,0.1568903938487284,0.6040904128668626,-0.7691359835537844,-0.5541670344579817,0.2659259796468788,-0.1272687252273746,-0.1892141848694866,-0.0881846982056466,-0.1375995801211634,-0.1749635785446818,-0.2047588897701744,-0.2700292805514854,-0.6249961264852306,-0.262309692801476,-0.4251934659522569,1
ACH-001513,0.7764188233436197,0.7764188233436197,0.7764188233436197,0,0,-0.216075368013448,0.1263393926133321,-0.1046731063585629,0.0296222161984764,0.093556775519112,-0.2114764676389037,-1.273839264272493,-0.033915028621275,0.047286204310534,0.0198992830258929,-0.2944585961790801,-0.1306807683574297,0.1486955408970025,-0.2947606883938415,-0.2035110034046486,-0.0350936320203428,-0.0307793268228112,-0.0680530348055675,0.0722871731138804,-0.1468331315373691,-0.2360706562852666,-0.0164544393986397,-0.0822790659592921,0
ACH-000518,0.9888372524459336,0.9888372524459336,0.9888372524459336,0,0,-0.1650286022981971,-0.785146662223588,-0.3867999153038029,-0.1265710508163198,0.0620624155790267,-0.1038226587511583,-1.7701057376312646,0.0081825505905925,0.104329395957567,0.0431988379825084,-1.1962642733903377,-0.5709899219773169,-0.007932997300901,-0.2449973112489787,-0.0788411887298631,-0.1547002246309626,-0.0498063346768163,-0.4011999690639273,-0.0904717364075958,-0.601827477803773,-0.3492740382394853,-0.1448410582994829,-0.2205635790435192,0
ACH-000092,1.9007076733485442e-07,1.9007076733485442e-07,1.9007076733485442e-07,1,1,-1.636912139002164,-0.4303986762275066,-0.9131202769898944,-0.6788041416093658,0.0945874703449425,0.3970523914628397,-1.9902408737556605,-0.048719977319373,0.060577594443265,0.9740096780695644,-0.8843706691141857,-0.5729734093510699,0.2876795008492475,0.0242260603956188,0.0864245512713052,-0.3280333817026688,-0.134100014925752,-0.2325430970085503,-0.1387807411947162,-0.5777112344733758,-0.6157493967036849,-0.5489873116219225,-0.4961957879794434,0
ACH-000124,0.0232268126341801,0.0015265705826393,0.0232268126341801,1,1,-0.0319863826835387,-0.0407574382496672,-0.1628412947771298,0.0390246206791997,-0.2489836675276934,-0.1769807047231243,-1.588479952303412,-0.2428180529530678,-0.073081694930835,0.2795188883419706,-1.8329406942908413,-0.2553120096039058,-0.1431805787364818,-0.3095975942401929,0.0004411580514462,0.0771116816486666,-0.083965962079552,-0.3582556906453845,-0.2745639719450018,0.0177806731067939,-0.2763943613969844,-0.08230670247749,-0.1068632971509961,0
ACH-000103,0.8329391447420544,0.8329391447420544,0.8329391447420544,0,0,-0.9127772670276236,-1.1705793782465943,-1.0268006439416226,-0.3564005508706403,0.2579451048622403,0.1722041136623317,-2.807064069279459,-0.1962248583252325,0.1169666578530043,0.7915447675015118,-0.9218569199537148,-0.523258658601602,0.5666643527733282,-0.3627857096598183,0.0208081684357335,0.1044960456332483,-0.1517789229724093,-0.3074135181972549,-0.2653942291200606,-0.5870474873652676,-0.2583348727728131,-1.0767222424365874,-1.1545149233177714,0
ACH-000398,0.960821940053604,0.960821940053604,0.960821940053604,0,0,-0.1278800066266668,0.2546877868899623,-0.0881860421836167,-0.1686661013616562,0.1463323323769123,0.0881451167734327,-1.3207106481379842,-0.2550223847929035,0.183124108071765,0.2832765899390911,-1.1617670755693963,-0.1565781489290201,-0.0596159540846934,-0.082126583603234,-0.4276138978006795,0.1245617395427532,-0.1438799094560232,-0.2948444967161429,-0.2272243036944701,-0.1596112304480665,-0.0768988977150556,0.0265105270569579,0.0229925604803525,0
ACH-001054,0.5857999600735692,0.5857999600735692,0.5857999600735692,0,0,-0.2290278430292942,0.0924867617646755,-0.1786415474258358,0.110040827125168,0.2725817773288637,-0.0367622651691262,-1.949061605006136,0.0218502073314214,0.1363464333133505,0.021452511081976,-1.0536712424913668,-0.1953575914854551,0.2030309115646731,0.0007314688787577,-0.0410118221705233,-0.090377183269817,-0.0001267619092247,-0.06959139809931,0.1173618724156721,-0.11446429645375,-0.1775848260727495,0.0161053215548982,-0.190066307838851,1
ACH-002239,0.9439092063303218,0.9439092063303218,0.9439092063303218,0,0,-0.430639224212225,-1.2952237706583205,-0.7045663028670327,-0.3553479667424198,0.13183211255143,0.3718302617162836,-1.32776038391337,0.1552966140913751,0.1142073793555421,1.9099326159187824,-1.5156300941234846,-1.0042978912050755,0.1611955158225721,-0.0895887318130198,-0.0826991767462319,-0.1355088230581443,-0.0963575032660314,-0.3456764477273754,-0.0926907366638296,-0.7771887559989743,-0.399337415926762,-0.4998453421758166,-0.5146385495470547,0
