mean_null,mean_intact,delta,p,n_null,n_intact,broad_id,drug,q
-0.14952867410629575,0.051843481533626945,-0.2013721556399227,0.05051985153010045,41,32,BRD-K00077698-001-02-9,Bimosiamose,0.9998823550455124
-0.12903258407809517,0.07137677157655574,-0.2004093556546509,0.0978116625716261,42,35,BRD-K71686520-001-02-9,ICA-110381,0.9998823550455124
-3.949916035757604,-3.7516895081056427,-0.19822652765196125,0.22985788532126888,41,32,BRD-K00091290-001-01-9,TAS4464,0.9998823550455124
-0.10020544043168284,0.0973534427540747,-0.19755888318575754,0.09043499500442637,42,36,BRD-K00003221-001-01-9,basmisanil,0.9998823550455124
-0.4658062223102297,-0.27524659306679433,-0.1905596292434354,0.2165831305470452,41,32,BRD-K00071599-001-02-9,Remdesivir,0.9998823550455124
-0.4518628362819812,-0.26213623709809836,-0.18972659918388285,0.16428821684668682,42,35,BRD-K00021095-001-01-9,PDD-00017273,0.9998823550455124
-1.2843101142037838,-1.098025416505132,-0.18628469769865186,0.25796934233691826,42,35,BRD-K00003240-300-01-9,eravacycline,0.9998823550455124
-0.44672315918687144,-0.26049285553066687,-0.18623030365620458,0.058168293624349346,42,35,BRD-K00003358-001-01-9,rogaratinib,0.9998823550455124
-0.08974379973862157,0.09438099988969834,-0.1841247996283199,0.02954828640472683,42,35,BRD-K83914624-415-01-3,C11-Acetate,0.9998823550455124
-0.5770317349868128,-0.3930106164134456,-0.18402111857336723,0.20802249609079881,42,35,BRD-K97181972-001-01-9,CPI-169,0.9998823550455124
-0.1724747481285497,0.010312143450081513,-0.18278689157863123,0.1078857798419165,42,36,BRD-K00005243-001-01-9,FK-409,0.9998823550455124
-0.30609913891829954,-0.12372563388056278,-0.18237350503773675,0.046200134601932744,42,35,BRD-K48963429-001-01-9,riodoxol,0.9998823550455124
-0.22471180828865384,-0.042949108230363485,-0.18176270005829034,0.11356573689537308,42,36,BRD-K00003117-001-01-9,ceftobiprole,0.9998823550455124
-0.1429730735159156,0.037839660375605634,-0.18081273389152122,0.03880611948311827,42,35,BRD-K00004579-001-01-9,RV1729,0.9998823550455124
-0.23183478158935736,-0.0513636840568639,-0.18047109753249346,0.07805659298768966,42,36,BRD-K00003128-001-01-9,beclabuvir,0.9998823550455124
-4.147263617091395,-3.967139065804882,-0.1801245512865126,0.31714232168408163,42,35,BRD-K00003162-001-01-9,crolibulin,0.9998823550455124
-0.04391677365111099,0.13608888766282692,-0.18000566131393791,0.07386796420615964,42,35,BRD-K20049318-303-03-9,impentamine,0.9998823550455124
-0.0855873900907032,0.09311159478777588,-0.17869898487847907,0.09261667110628774,42,35,BRD-K47608922-001-05-9,dipyrocetyl,0.9998823550455124
-4.722801639357193,-4.544517914320554,-0.17828372503663914,0.3182869262500274,41,32,BRD-K00090635-001-01-9,DM4,0.9998823550455124
-0.1709233744302488,0.006987828516678455,-0.17791120294692725,0.12146616214242273,42,36,BRD-K77817104-001-02-9,N-(p-amylcinnamoyl)-anthranilic-acid,0.9998823550455124
-0.28604844023808984,-0.10817520370796753,-0.17787323653012233,0.2612851855705308,42,35,BRD-K53896891-001-01-2,methanesulfonyl-fluoride,0.9998823550455124
-0.20755587843374804,-0.03036705702888061,-0.1771888214048674,0.0860113336729838,42,35,BRD-K00005332-019-01-9,calcitonin,0.9998823550455124
-0.48531765091172446,-0.3082957929158473,-0.17702185799587716,0.021804508767402146,41,32,BRD-K00074735-014-02-9,Olanexidine,0.9998823550455124
-0.3011108447850062,-0.12444173672393186,-0.17666910806107436,0.16175432679970003,42,36,BRD-K00005245-001-01-9,KM-0118,0.9998823550455124
-0.07650474459933612,0.0989965144453471,-0.17550125904468322,0.1746200045787371,42,35,BRD-K90410034-003-02-9,M8-B,0.9998823550455124
-0.8959817447202563,-0.7207592670537663,-0.17522247766649002,0.15680503198812518,42,35,BRD-K03128577-005-08-9,MG-624,0.9998823550455124
-0.2931851375450701,-0.11803395588623977,-0.1751511816588303,0.1402298101729414,42,35,BRD-K00004660-001-01-9,MK-1903,0.9998823550455124
-0.13130618281280926,0.04361296172748618,-0.17491914454029545,0.10241333616448633,42,36,BRD-K00004711-001-01-9,GSK356278,0.9998823550455124
0.16542233061063,0.34018921530561336,-0.17476688469498336,0.04237280767197872,42,35,BRD-K86677390-001-02-9,MK-8998,0.9998823550455124
